hpo_id,english,candidate,reference,simple,sacrebleu,`ter`,semsim
HP:0001197,Abnormality of prenatal development or birth,anomalía del desarrollo prenatal o del nacimiento,Anomalía del desarrollo prenatal o el parto,0,61.5,71.4,96.5
HP:0001194,Abnormalities of placenta or umbilical cord,anomalías de la placenta o del cordón umbilical,Anomalías de placenta y cordón umbilical,0,16.5,62.5,98.9
HP:0001560,Abnormality of the amniotic fluid,alteración del líquido amniótico,Anomalía del líquido amniótico,0,59.5,75.0,92.2
HP:0001622,Premature birth,Nacimiento prematuro,Parto prematuro,0,50.0,50.0,94.6
HP:0001787,Abnormal delivery,parto anormal,Parto anormal,0,100.0,100.0,100.0
HP:0030917,Low APGAR score,baja puntuación en el gen APGAR,Score de Apgar bajo,0,8.1,0.0,46.1
HP:0031169,Postterm pregnancy,Embarazos postérmino,Embarazo postérmino,0,50.0,50.0,99.4
HP:0032479,Preimplantation lethality,Letalidad del preimplante,Letalidad previa a la implantación,0,14.1,-33.3,81.5
HP:0033334,Abnormal embryonic development,desarrollo embrionario anormal,Desarrollo embrionario anormal,0,100.0,100.0,100.0
HP:0034057,Fetal anomaly,Anomalía fetal,Anomalía fetal,1,100.0,100.0,100.0
HP:0010881,Abnormality of the umbilical cord,anomalía del cordón umbilical,Anomalía del cordón umbilical,0,100.0,100.0,100.0
HP:0011409,Abnormal placental membrane morphology,anomalía de la morfología de la membrana placentaria,Anomalía de membrana placentaria,0,15.6,50.0,93.9
HP:0032192,Hydatidiform mole,Mola hidatiforme,Mola hidatidiforme,0,50.0,50.0,98.0
HP:0100767,Abnormal placenta morphology,morfología anormal de la placenta,Anomalía de la placenta,0,39.8,60.0,93.0
HP:0001561,Polyhydramnios,Polihidramnios,Polihidramnios,1,100.0,100.0,100.0
HP:0001562,Oligohydramnios,Oligohidramnios,Oligohidramnios,1,100.0,100.0,100.0
HP:0001563,Fetal polyuria,Poliuria fetal,Poliuria fetal,1,100.0,100.0,100.0
HP:0012420,Meconium stained amniotic fluid,Líquido amniótico teñido de meconio,Meconio en líquido amniótico,0,23.6,20.0,93.6
HP:0025700,Anhydramnios,Anhidramnios,Anhidramnios,1,100.0,100.0,100.0
HP:0034899,Abnormal amniotic fluid protein concentration,concentración anormal de proteínas en el líquido amniótico,Concentración anormal de proteínas en el líquido amniótico,0,100.0,100.0,100.0
HP:0005100,Premature birth following premature rupture of fetal membranes,Nacimiento prematuro después de ruptura prematura de las membranas fetales,Parto prematuro por rotura prematura de membranas fetales,0,12.5,50.0,97.4
HP:0005267,Premature delivery because of cervical insufficiency or membrane fragility,Parto prematuro por insuficiencia cervical o fragilidad de la membrana,Parto prematuro debido a insuficiencia cervical o fragilidad de membranas,0,45.2,60.0,99.6
HP:0025664,Moderate to late preterm birth,Parto prematuro de moderado a tardío,Parto prematuro moderado a tardío,0,38.0,83.3,99.5
HP:0025665,Extremely preterm birth,Parto prematuro extremo,Nacimiento extremadamente prematuro,0,27.5,0.0,89.7
HP:0025666,Very preterm birth,Parto muy prematuro,Parto muy prematuro,1,100.0,100.0,100.0
HP:0001623,Breech presentation,presentación de la vena,Presentación podálica,0,16.0,25.0,61.5
HP:0001788,Premature rupture of membranes,Ruptura prematura de la bolsa de las aguas,Ruptura prematura de membranas,0,20.6,37.5,69.1
HP:0011410,Caesarian section,cesárea,Cesárea,0,100.0,100.0,100.0
HP:0011411,Forceps delivery,parto con fórceps,Parto con fórceps,0,100.0,100.0,100.0
HP:0011412,Ventouse delivery,parto por ventosidad,Parto con ventosas,0,27.5,33.3,92.3
HP:0011413,Shoulder dystocia,Distocia de hombro,Distocia de hombros,0,55.0,66.7,94.1
HP:0012498,Nuchal cord,cordón nucal,Cordón nucal,0,100.0,100.0,100.0
HP:0012541,Cephalohematoma,Cefalohematoma,Cefalohematoma neonatal,0,36.8,0.0,79.7
HP:0030365,Vaginal birth after Caesarian,Nacimiento vaginal después de la cesárea,Nacimiento vaginal después de una cesárea,0,53.7,83.3,99.7
HP:0030366,Delivery by Odon device,parto por Odon dispositivo,Nacimiento por dispositivo de Odon,0,16.4,25.0,82.4
HP:0030369,Induced vaginal delivery,parto vaginal inducido,Parto vaginal inducido,0,100.0,100.0,100.0
HP:0030449,Therapeutic abortion,aborto terapéutico,Aborto terapéutico,0,100.0,100.0,100.0
HP:0030918,Low 1-minute APGAR score,baja puntuación APGAR a 1 minuto,Score de Apgar bajo al minuto,0,9.7,33.3,84.5
HP:0030919,Low 5-minute APGAR score,baja puntuación APGAR a 5 minutos,Score de Apgar bajo a los 5 minutos,0,13.8,33.3,91.2
HP:0033467,Low 10-minute APGAR score,Puntaje APGAR bajo 10 minutos,Puntuación baja de APGAR a los 10 minutos,0,13.0,0.0,90.2
HP:0033335,Abnormal preimplantation embryonic development,desarrollo embrionario preimplantacional anormal,Desarrollo embrionario preimplantacional anormal,0,100.0,100.0,100.0
HP:0034058,Abnormal fetal morphology,morfología fetal anormal,Morfología fetal anormal,0,100.0,100.0,100.0
HP:0034059,Abnormal fetal physiology,alteración de la fisiología fetal,Fisiología fetal anormal,0,21.4,20.0,92.2
HP:0001196,Short umbilical cord,Cordón umbilical corto,Cordón umbilical corto,1,100.0,100.0,100.0
HP:0011403,Abnormal umbilical cord blood vessel morphology,morfología anormal de los vasos sanguíneos del cordón umbilical,Vasos sanguíneos de cordón umbilical anormales,0,14.3,33.3,94.7
HP:0011417,Long umbilical cord,cordón umbilical largo,Cordón umbilical largo,0,100.0,100.0,100.0
HP:0011418,Abnormal insertion of umbilical cord,alteración de la inserción del cordón umbilical,Inserción anormal de cordón umbilical,0,15.6,42.9,94.4
HP:0025657,Abnormal umbilical blood flow measurement,medición anormal del flujo sanguíneo umbilical,Resultado anormal del flujo sanguíneo umbilical,0,76.0,83.3,92.5
HP:0030654,Umbilical cord cyst,Quiste del cordón umbilical,Quiste del cordón umbilical,1,100.0,100.0,100.0
HP:0030655,Umbilical cord knot,nudo del cordón umbilical,Nudo de cordón umbilical,0,35.4,75.0,97.7
HP:0030656,Umbilical vein varix,variz de la vena umbilical,Várice vena umbilical,0,21.4,40.0,89.0
HP:0030657,Umbilical cord hematoma,Hematoma del cordón umbilical,Hematoma del cordón umbilical,1,100.0,100.0,100.0
HP:0032434,Delayed umbilical cord separation,Retraso en la separación del cordón umbilical,Caída tardía del cordón umbilical,0,24.4,42.9,83.7
HP:0032435,Neonatal omphalitis,onfalitis neonatal,Onfalitis neonatal,0,100.0,100.0,100.0
HP:0410210,Abnormal cord blood measurement,medición anormal del cordón umbilical,Medición anormal en la sangre del cordón,0,20.3,20.0,73.9
HP:0009775,Amniotic constriction ring,anillo de constricción amniótica,Anillo de constricción amniótico,0,59.5,75.0,99.3
HP:0025712,Spontaneous chorioamniotic separation,Separación corioamniótica espontánea,Separación corioamniótica espontánea,1,100.0,100.0,100.0
HP:0030763,Amniotic Sheet,lámina amniótica,"Sinequias uterinas tipo ""hojas amnióticas""",0,0.0,-150.0,60.9
HP:0033552,Chronic villitis,Vilitis crónica,Villitis crónica,0,50.0,50.0,95.6
HP:0011415,Calcified placenta,Placenta calcificada,Placenta calcificada,1,100.0,100.0,100.0
HP:0011416,Placental infarction,infarto placentario,Infarto placentario,0,100.0,100.0,100.0
HP:0011419,Placental abruption,desprendimiento placentario,Desprendimiento de placenta,0,30.3,0.0,85.5
HP:0012767,Abnormal placental size,tamaño placentario anormal,Tamaño anormal de la placenta,0,17.8,-33.3,93.6
HP:0025652,Abnormal placental adhesion into the uterine wall,adhesión placentaria anormal a la pared uterina,Adherencias anormales de la placenta a la pared uterina,0,30.9,28.6,95.0
HP:0025719,Maternal vascular malperfusion,Malperfusión vascular materna,Mala perfusión vascular materna,0,39.4,33.3,97.3
HP:0025729,Fetal vascular malperfusion,Malperfusión vascular fetal,Malperfusión vascular fetal,1,100.0,100.0,100.0
HP:0030714,Subchorionic thrombohematoma,Trombohematoma subcoriónico,Trombohematoma subcoriónico,1,100.0,100.0,100.0
HP:0030720,Subchorionic septal cyst,Quiste septal subcoriónico,Quiste septal subcoriónico,1,100.0,100.0,100.0
HP:0032165,Placental mesenchymal dysplasia,Displasia mesenquimal placentaria,Displasia mesenquimatosa placentaria,0,34.7,66.7,98.6
HP:0033042,Abnormal chorion morphology,corionopatía anómala,Morfología anormal del corion,0,0.0,-100.0,71.5
HP:0100768,Choriocarcinoma,Coriocarcinoma,Coriocarcinoma,1,100.0,100.0,100.0
HP:0100883,Chorangioma,Corangioma,Corangioma,1,100.0,100.0,100.0
HP:0034900,Decreased amniotic fluid alpha-fetoprotein concentration,Disminución de la concentración de alfa-fetoproteína en el líquido amniótico,Disminución de la concentración de alfafetoproteína en líquido amniótico,0,37.7,80.0,96.1
HP:0010859,Frank breech presentation,presentación de Frank Breech,Presentación de nalgas completa,0,31.9,50.0,54.3
HP:0010860,Complete breech presentation,Presentación podálica completa,Presentación completa de nalgas,0,24.8,0.0,86.5
HP:0010861,Incomplete breech presentation,Presentación podálica incompleta,Presentación de nalgas incompleta,0,24.8,33.3,82.5
HP:0030363,Primary Caesarian section,cesárea primaria,Primera cesárea,0,50.0,0.0,87.3
HP:0030364,Secondary Caesarian section,cesárea secundaria,Cesárea secuendaria,0,50.0,50.0,91.8
